id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long
6300500875,385000,4,1.75,1620,4980,1,0,7,860,760,1947,0,98133,47.7025,-122.341
2524049179,2E+06,3,2.75,3050,44867,1,4,9,2330,720,1968,0,98040,47.5316,-122.233
7137970340,285000,5,2.5,2270,6300,2,0,8,2270,0,1995,0,98092,47.3266,-122.169
8091400200,252700,2,1.5,1070,9643,1,0,7,1070,0,1985,0,98030,47.3533,-122.166
3814700200,329000,3,2.25,2450,6500,2,0,8,2450,0,1985,0,98030,47.3739,-122.172
1202000200,233000,3,2,1710,4697,1.5,0,6,1710,0,1941,0,98002,47.3048,-122.218
1794500383,937000,3,1.75,2450,2691,2,0,8,1750,700,1915,0,98119,47.6386,-122.36
3303700376,667000,3,1,1400,1581,1.5,0,8,1400,0,1909,0,98112,47.6221,-122.314
5101402488,438000,3,1.75,1520,6380,1,0,7,790,730,1948,0,98115,47.695,-122.304
1873100390,719000,4,2.5,2570,7173,2,0,8,2570,0,2005,0,98052,47.7073,-122.11
8562750320,580500,3,2.5,2320,3980,2,0,8,2320,0,2003,0,98027,47.5391,-122.07
2426039314,280000,2,1.5,1190,1265,3,0,7,1190,0,2005,0,98133,47.7274,-122.357
461000390,687500,4,1.75,2330,5000,1.5,0,7,1510,820,1929,0,98117,47.6823,-122.368
7589200193,535000,3,1,1090,3000,1.5,0,8,1090,0,1929,0,98117,47.6889,-122.375
7955080270,322500,4,2.75,2060,6659,1,0,7,1280,780,1981,0,98058,47.4276,-122.157
9547205180,696000,3,2.5,2300,3060,1.5,0,8,1510,790,1930,2002,98115,47.6827,-122.31
9435300030,550000,4,1,1660,34848,1,0,5,930,730,1933,0,98052,47.6621,-122.132
2768000400,640000,4,2,2360,6000,2,0,8,2360,0,1904,0,98107,47.6702,-122.362
7895500070,240000,4,1,1220,8075,1,0,7,890,330,1969,0,98001,47.3341,-122.282
2078500320,605000,4,2.5,2620,7553,2,0,8,2620,0,1996,0,98056,47.5301,-122.18
5547700270,625000,4,2.5,2570,5520,2,0,9,2570,0,2000,0,98074,47.6145,-122.027
7766200013,775000,4,2.25,4220,24186,1,0,8,2600,1620,1984,0,98166,47.445,-122.347
7203220400,861990,5,2.75,3595,5639,2,0,9,3595,0,2014,0,98053,47.6848,-122.016
9270200160,685000,3,1,1570,2280,2,0,7,1570,0,1922,0,98119,47.6413,-122.364
1432701230,309000,3,1,1280,9656,1,0,6,920,360,1959,0,98058,47.4485,-122.175
8035350320,488000,3,2.5,3160,13603,2,0,8,3160,0,2003,0,98019,47.7443,-121.977
8945200830,210490,3,1,990,8528,1,0,6,990,0,1966,0,98023,47.3066,-122.371
4178300310,785000,4,2.5,2290,13416,2,0,9,2290,0,1981,0,98007,47.6194,-122.151
9215400105,450000,3,1.75,1250,5963,1,0,7,1250,0,1953,0,98115,47.6796,-122.301
822039084,1.35E+06,3,2.5,2753,65005,1,2,9,2165,588,1953,0,98070,47.4041,-122.451
5245600105,228000,3,1,1190,9199,1,0,7,1190,0,1955,0,98148,47.4258,-122.322
7231300125,345000,5,2.5,3150,9134,1,0,8,1640,1510,1966,0,98056,47.4934,-122.189
7518505990,600000,3,1.75,1410,4080,1,0,7,1000,410,1950,0,98117,47.6808,-122.384
3626039271,585000,2,1.75,1980,8550,1,0,7,990,990,1981,0,98117,47.6989,-122.369
4217401195,920000,5,2.25,2730,6000,1.5,0,8,2130,600,1927,0,98105,47.6571,-122.281
9822700295,885000,4,2.5,2830,5000,2,0,9,2830,0,1995,0,98105,47.6597,-122.29
9478500640,292500,4,2.5,2250,4495,2,0,7,2250,0,2008,0,98042,47.3663,-122.114
2799800710,301000,3,2.5,2420,4750,2,0,8,2420,0,2003,0,98042,47.3663,-122.122
7922800400,951000,5,3.25,3250,14342,2,4,8,3250,0,1968,0,98008,47.588,-122.116
8079040320,430000,4,3,1850,9976,2,0,8,1850,0,1991,0,98059,47.5059,-122.149
1516000055,650000,3,2.25,2150,21235,1,3,8,1590,560,1959,0,98166,47.4336,-122.339
9558200045,289000,3,1.75,1260,8400,1,0,7,1260,0,1954,0,98148,47.4366,-122.335
5072410070,505000,3,1.75,2519,8690,2,0,8,2519,0,1973,0,98166,47.4428,-122.344
9528102996,549000,3,1.75,1540,1044,3,0,8,1540,0,2014,0,98115,47.6765,-122.32
1189001180,425000,3,2.25,1660,6000,1,0,7,1110,550,1979,0,98122,47.6113,-122.297
3253500160,317625,3,2.75,2770,3809,1.5,0,7,1770,1000,1925,0,98144,47.5747,-122.304
3394100030,975000,4,2.5,2720,11049,2,0,10,2720,0,1989,0,98004,47.5815,-122.192
3717000160,287000,4,2.5,2240,4648,2,0,7,2240,0,2005,0,98001,47.3378,-122.257
1274500060,204000,3,1,1000,12070,1,0,7,1000,0,1968,0,98042,47.3621,-122.11
1802000060,1.325E+06,5,2.25,3200,20158,1,0,8,1600,1600,1965,0,98004,47.6303,-122.215
1525059190,1.04E+06,5,3.25,4770,50094,1,0,11,3070,1700,1973,0,98005,47.6525,-122.16
1049000060,325000,3,2,1260,5612,1,0,7,1260,0,1972,0,98034,47.7362,-122.179
8820901275,571000,4,2,2750,7807,1.5,0,7,2250,500,1916,0,98125,47.7168,-122.287
5416510140,360000,4,2.5,2380,5000,2,0,8,2380,0,2005,0,98038,47.3608,-122.036
3444100400,349000,3,1.75,1790,50529,1,0,7,1090,700,1965,0,98042,47.3511,-122.073
3276920270,832500,4,4,3430,35102,2,0,10,2390,1040,1986,0,98075,47.5822,-121.987
4036801170,380000,4,1.75,1760,7300,1,0,7,880,880,1956,0,98008,47.6034,-122.125
2391600320,480000,3,1,1040,5060,1,0,7,1040,0,1941,0,98116,47.5636,-122.394
6300000287,410000,3,1,1410,5060,1,0,7,910,500,1956,0,98133,47.7073,-122.34
1531000030,720000,4,2.5,3450,39683,2,0,10,3450,0,2002,0,98010,47.342,-122.025
5104520400,390000,3,2.5,2350,5100,2,0,8,2350,0,2003,0,98038,47.3512,-122.008
7437100340,360000,4,2.5,1900,5889,2,0,7,1900,0,1992,0,98038,47.349,-122.031
9418400240,355000,2,1,2020,6720,1,0,7,1010,1010,1948,0,98118,47.5474,-122.291
1523059105,356000,3,1.5,1680,8712,1,0,8,1680,0,1964,0,98059,47.4811,-122.149
1133000671,315000,3,1,960,6634,1,0,6,960,0,1952,0,98125,47.7264,-122.31
4232902595,940000,3,1.5,2140,3600,2,0,9,1900,240,1925,0,98119,47.6337,-122.365
2599001200,305000,5,2.25,2660,8400,1.5,0,7,2660,0,1961,0,98092,47.2909,-122.189
3342103156,461000,3,3.25,2770,6278,2,0,9,1980,790,2006,0,98056,47.5228,-122.199
1332700270,215000,2,2.25,1610,2040,2,0,7,1610,0,1979,0,98056,47.518,-122.194
3869900162,335000,2,1.75,1030,1066,2,0,7,765,265,2006,0,98136,47.5394,-122.387
2791500270,243500,4,2.5,1980,7403,2,0,7,1980,0,1988,0,98023,47.2897,-122.372
5036300431,1.09988E+06,5,2.75,3520,6353,2,0,10,3520,0,2001,0,98199,47.6506,-122.391
4168000060,153000,3,1,1200,10500,1,0,7,1200,0,1962,0,98023,47.322,-122.351
6021501535,430000,3,1.5,1580,5000,1,0,8,1290,290,1939,0,98117,47.687,-122.386
6021501535,700000,3,1.5,1580,5000,1,0,8,1290,290,1939,0,98117,47.687,-122.386
1483300570,905000,4,2.5,3300,10250,1,0,7,2390,910,1946,1991,98040,47.5873,-122.249
3422049190,247500,3,1.75,1960,15681,1,0,7,1960,0,1967,0,98032,47.3576,-122.277
1099611230,199000,4,1.5,1160,6400,1,0,7,1160,0,1975,0,98023,47.3036,-122.378
722079104,314000,3,1.75,1810,41800,1,0,7,1210,600,1980,0,98038,47.4109,-121.958
7338200240,437500,3,2.5,2320,36847,2,2,9,2320,0,1992,0,98045,47.4838,-121.714
